Key,transaction_date,subscription_id,user_id,subscription_start,subscription_end,subscription_status,provider,service,Charge,transcationstatus,Active
43534292238283,2019/03/10,292238283,46095801,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43534292227965,2019/03/10,292227965,12520877,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43534292298840,2019/03/10,292298840,44619716,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43534292189679,2019/03/10,292189679,39961147,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43534292255076,2019/03/10,292255076,46704717,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43534292185623,2019/03/10,292185623,46634937,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43534292260256,2019/03/10,292260256,46705688,2019/03/10,2019/06/08,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43066164473043,2017/11/27,164473043,24584871,2017/11/27,2019/06/08,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,558
4287280112580,2017/05/17,80112580,8207603,2017/05/17,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,751
43089172949961,2017/12/20,172949961,27953481,2017/12/20,2019/06/07,Cancelled,Provider A,Cooking Recipes,#N/A,#N/A,534
43166193267853,2018/03/07,193267853,31561495,2018/03/07,2019/06/07,Cancelled,Provider B,Cool Songs,#N/A,#N/A,457
43166193308745,2018/03/07,193308745,31567921,2018/03/07,2019/06/07,Cancelled,Provider C,GOT Spoilers,#N/A,#N/A,457
43173195353569,2018/03/14,195353569,31827120,2018/03/14,2019/06/07,Cancelled,Provider B,Cooking Recipes,#N/A,#N/A,450
43176196121919,2018/03/17,196121919,31912325,2018/03/17,2019/06/07,Cancelled,Provider B,GOT Spoilers,#N/A,#N/A,447
43217206809811,2018/04/27,206809811,32617837,2018/04/27,2019/06/07,Cancelled,Provider A,Cool Songs,#N/A,#N/A,406
43217206827981,2018/04/27,206827981,31292863,2018/04/27,2019/06/07,Cancelled,Provider B,Cool Songs,#N/A,#N/A,406
43217206925997,2018/04/27,206925997,29400376,2018/04/27,2019/06/07,Cancelled,Provider B,Cool Songs,#N/A,#N/A,406
43222208359012,2018/05/02,208359012,5229658,2018/05/02,2019/06/07,Cancelled,Provider A,Cool Songs,#N/A,#N/A,401
43140187076971,2018/02/09,187076971,12251610,2018/02/09,2019/06/07,Cancelled,Provider B,Cool Songs,#N/A,#N/A,483
43499283662489,2019/02/03,283662489,45229894,2019/02/03,2019/06/07,Cancelled,Provider C,Cooking Recipes,300,Failed,124
43531291729102,2019/03/07,291729102,40982011,2019/03/07,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,92
4240222269704,2016/02/02,22269704,10189705,2016/02/02,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,#N/A,#N/A,1221
43532291952053,2019/03/08,291952053,44900546,2019/03/08,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43532291936099,2019/03/08,291936099,45681524,2019/03/08,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43532291897315,2019/03/08,291897315,43909623,2019/03/08,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43532291950883,2019/03/08,291950883,43363717,2019/03/08,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,91
43533291990669,2019/03/09,291990669,42769153,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43533292072278,2019/03/09,292072278,46663418,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43533292032120,2019/03/09,292032120,46350036,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43533292027952,2019/03/09,292027952,46392739,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
43533292032193,2019/03/09,292032193,46654510,2019/03/09,2019/06/07,Cancelled,Provider A,Pokemon-Go Locations,200,Failed,90
