contractid,customerid,activation_date,date_of_activity,sum_paid_to_date,arrears
2,19,2018/06/21 11:08,2019/08/16 00:00,425600,30410.9
2,19,2018/06/21 11:08,2019/08/17 00:00,425600,31139.5
2,19,2018/06/21 11:08,2019/08/19 00:00,425600,32596.69
2,19,2018/06/21 11:08,2019/08/20 00:00,425600,33325.29
2,19,2018/06/21 11:08,2019/08/21 00:00,425600,34053.89
2,19,2018/06/21 11:08,2019/08/22 00:00,455600,4782.48
2,19,2018/06/21 11:08,2019/08/23 00:00,455600,5511.08
2,19,2018/06/21 11:08,2019/08/26 00:00,455600,7696.87
2,19,2018/06/21 11:08,2019/08/27 00:00,455600,8425.47
2,19,2018/06/21 11:08,2019/08/28 00:00,455600,9154.07
2,19,2018/06/21 11:08,2019/08/29 00:00,455600,9882.66
2,19,2018/06/21 11:08,2019/08/30 00:00,455600,10611.26
2,19,2018/06/21 11:08,2019/08/31 00:00,455600,11339.86
2,19,2018/06/21 11:08,2019/09/01 00:00,455600,12068.46
2,19,2018/06/21 11:08,2019/09/02 00:00,455600,12797.05
2,19,2018/06/21 11:08,2019/09/03 00:00,455600,13525.65
2,19,2018/06/21 11:08,2019/09/04 00:00,455600,14254.25
2,19,2018/06/21 11:08,2019/09/05 00:00,455600,14982.85
2,19,2018/06/21 11:08,2019/09/06 00:00,455600,15711.44
2,19,2018/06/21 11:08,2019/09/07 00:00,455600,16440.04
2,19,2018/06/21 11:08,2019/09/08 00:00,455600,17168.64
2,19,2018/06/21 11:08,2019/09/09 00:00,455600,17897.24
2,19,2018/06/21 11:08,2019/09/10 00:00,455600,18625.83
2,19,2018/06/21 11:08,2019/09/12 00:00,455600,20083.03
2,19,2018/06/21 11:08,2019/09/13 00:00,455600,20811.62
2,19,2018/06/21 11:08,2019/09/14 00:00,455600,21540.22
2,19,2018/06/21 11:08,2019/09/15 00:00,455600,22268.82
2,19,2018/06/21 11:08,2019/09/16 00:00,455600,22997.42
2,19,2018/06/21 11:08,2019/09/17 00:00,455600,23726.01
2,19,2018/06/21 11:08,2019/09/18 00:00,455600,24454.61
2,19,2018/06/21 11:08,2019/09/19 00:00,455600,25183.21
2,19,2018/06/21 11:08,2019/09/20 00:00,455600,25911.81
2,19,2018/06/21 11:08,2019/09/21 00:00,485600,0
2,19,2018/06/21 11:08,2019/09/22 00:00,485600,0
2,19,2018/06/21 11:08,2019/09/23 00:00,485600,0
2,19,2018/06/21 11:08,2019/09/24 00:00,485600,0
2,19,2018/06/21 11:08,2019/09/25 00:00,485600,0
2,19,2018/06/21 11:08,2019/09/26 00:00,485600,283.39
2,19,2018/06/21 11:08,2019/09/27 00:00,485600,1011.99
2,19,2018/06/21 11:08,2019/09/28 00:00,485600,1740.59
2,19,2018/06/21 11:08,2019/09/29 00:00,485600,2469.18
2,19,2018/06/21 11:08,2019/09/30 00:00,485600,3197.78
2,19,2018/06/21 11:08,2019/10/01 00:00,485600,3926.38
2,19,2018/06/21 11:08,2019/10/02 00:00,485600,4654.98
2,19,2018/06/21 11:08,2019/10/03 00:00,485600,5383.57
2,19,2018/06/21 11:08,2019/10/04 00:00,485600,6112.17
2,19,2018/06/21 11:08,2019/10/05 00:00,485600,6840.77
2,19,2018/06/21 11:08,2019/10/06 00:00,485600,7569.36
2,19,2018/06/21 11:08,2019/10/07 00:00,485600,8297.96
2,19,2018/06/21 11:08,2019/10/08 00:00,485600,9026.56
2,19,2018/06/21 11:08,2019/10/09 00:00,485600,9755.16
2,19,2018/06/21 11:08,2019/10/10 00:00,485600,10483.75
2,19,2018/06/21 11:08,2019/10/11 00:00,485600,11212.35
2,19,2018/06/21 11:08,2019/10/12 00:00,485600,11940.95
2,19,2018/06/21 11:08,2019/10/13 00:00,485600,12669.55
2,19,2018/06/21 11:08,2019/10/14 00:00,485600,13398.14
2,19,2018/06/21 11:08,2019/10/15 00:00,485600,14126.74
2,19,2018/06/21 11:08,2019/10/16 00:00,485600,14855.34
2,19,2018/06/21 11:08,2019/10/17 00:00,485600,15583.94
2,19,2018/06/21 11:08,2019/10/18 00:00,485600,16312.53
2,19,2018/06/21 11:08,2019/10/19 00:00,485600,17041.13
2,19,2018/06/21 11:08,2019/10/20 00:00,485600,17769.73
2,19,2018/06/21 11:08,2019/10/21 00:00,485600,18498.33
2,19,2018/06/21 11:08,2019/10/22 00:00,485600,19226.92
2,19,2018/06/21 11:08,2019/10/23 00:00,485600,19955.52
2,19,2018/06/21 11:08,2019/10/24 00:00,485600,20684.12
2,19,2018/06/21 11:08,2019/10/25 00:00,485600,21412.71
2,19,2018/06/21 11:08,2019/10/26 00:00,485600,22141.31
2,19,2018/06/21 11:08,2019/10/27 00:00,485600,22869.91
2,19,2018/06/21 11:08,2019/10/28 00:00,485600,23598.51
2,19,2018/06/21 11:08,2019/10/29 00:00,485600,24327.1
2,19,2018/06/21 11:08,2019/10/30 00:00,485600,25055.7
2,19,2018/06/21 11:08,2019/10/31 00:00,485600,25784.3
2,19,2018/06/21 11:08,2019/11/01 00:00,485600,26512.9
2,19,2018/06/21 11:08,2019/11/02 00:00,485600,27241.49
2,19,2018/06/21 11:08,2019/11/03 00:00,485600,27970.09
2,19,2018/06/21 11:08,2019/11/04 00:00,485600,28698.69
2,19,2018/06/21 11:08,2019/11/05 00:00,485600,29427.29
2,19,2018/06/21 11:08,2019/11/06 00:00,485600,30155.88
2,19,2018/06/21 11:08,2019/11/07 00:00,485600,30884.48
2,19,2018/06/21 11:08,2019/11/08 00:00,485600,31613.08
2,19,2018/06/21 11:08,2019/11/09 00:00,485600,32341.68
2,19,2018/06/21 11:08,2019/11/10 00:00,485600,33070.27
2,19,2018/06/21 11:08,2019/11/11 00:00,485600,33798.87
2,19,2018/06/21 11:08,2019/11/12 00:00,515600,4527.47
2,19,2018/06/21 11:08,2019/11/13 00:00,515600,5256.06
2,19,2018/06/21 11:08,2019/11/14 00:00,515600,5984.66
2,19,2018/06/21 11:08,2019/11/15 00:00,515600,6713.26
2,19,2018/06/21 11:08,2019/11/16 00:00,515600,7441.86
2,19,2018/06/21 11:08,2019/11/17 00:00,515600,8170.45
2,19,2018/06/21 11:08,2019/11/18 00:00,515600,8899.05
2,19,2018/06/21 11:08,2019/11/19 00:00,515600,9627.65
2,19,2018/06/21 11:08,2019/11/20 00:00,515600,10356.25
2,19,2018/06/21 11:08,2019/11/21 00:00,515600,11084.84
2,19,2018/06/21 11:08,2019/11/24 00:00,515600,13270.64
2,19,2018/06/21 11:08,2019/11/25 00:00,515600,13999.23
2,19,2018/06/21 11:08,2019/11/26 00:00,515600,14727.83
2,19,2018/06/21 11:08,2019/11/27 00:00,515600,15456.43
2,19,2018/06/21 11:08,2019/11/28 00:00,515600,16185.03
2,19,2018/06/21 11:08,2019/11/29 00:00,515600,16913.62
2,19,2018/06/21 11:08,2019/11/30 00:00,515600,17642.22
2,19,2018/06/21 11:08,2019/12/01 00:00,515600,18370.82
2,19,2018/06/21 11:08,2019/12/02 00:00,515600,19099.42
2,19,2018/06/21 11:08,2019/12/03 00:00,515600,19828.01
2,19,2018/06/21 11:08,2019/12/04 00:00,515600,20556.61
2,19,2018/06/21 11:08,2019/12/05 00:00,515600,21285.21
2,19,2018/06/21 11:08,2019/12/06 00:00,515600,22013.8
2,19,2018/06/21 11:08,2019/12/07 00:00,515600,22742.4
2,19,2018/06/21 11:08,2019/12/08 00:00,515600,23471
2,19,2018/06/21 11:08,2019/12/09 00:00,515600,24199.6
2,19,2018/06/21 11:08,2019/12/10 00:00,515600,24928.19
2,19,2018/06/21 11:08,2019/12/11 00:00,515600,25656.79
2,19,2018/06/21 11:08,2019/12/12 00:00,515600,26385.39
2,19,2018/06/21 11:08,2019/12/13 00:00,515600,27113.99
2,19,2018/06/21 11:08,2019/12/14 00:00,515600,27842.58
2,19,2018/06/21 11:08,2019/12/15 00:00,515600,28571.18
2,19,2018/06/21 11:08,2019/12/16 00:00,515600,29299.78
2,19,2018/06/21 11:08,2019/12/17 00:00,515600,30028.38
2,19,2018/06/21 11:08,2019/12/18 00:00,515600,30756.97
2,19,2018/06/21 11:08,2019/12/19 00:00,515600,31485.57
2,19,2018/06/21 11:08,2019/12/20 00:00,515600,32214.17
2,19,2018/06/21 11:08,2019/12/21 00:00,515600,32942.77
2,19,2018/06/21 11:08,2019/12/22 00:00,515600,33671.36
2,19,2018/06/21 11:08,2019/12/23 00:00,515600,34399.96
2,19,2018/06/21 11:08,2019/12/24 00:00,545600,5128.56
2,19,2018/06/21 11:08,2019/12/25 00:00,545600,5857.15
2,19,2018/06/21 11:08,2019/12/26 00:00,545600,6585.75
2,19,2018/06/21 11:08,2019/12/27 00:00,545600,7314.35
2,19,2018/06/21 11:08,2019/12/28 00:00,545600,8042.95
2,19,2018/06/21 11:08,2019/12/29 00:00,545600,8771.54
2,19,2018/06/21 11:08,2019/12/30 00:00,545600,9500.14
2,19,2018/06/21 11:08,2019/12/31 00:00,545600,10228.74
2,19,2018/06/21 11:08,2020/01/01 00:00,545600,10957.34
2,19,2018/06/21 11:08,2020/01/02 00:00,545600,11685.93
2,19,2018/06/21 11:08,2020/01/03 00:00,545600,12414.53
2,19,2018/06/21 11:08,2020/01/04 00:00,545600,13143.13
2,19,2018/06/21 11:08,2020/01/05 00:00,545600,13871.73
2,19,2018/06/21 11:08,2020/01/06 00:00,545600,14600.32
2,19,2018/06/21 11:08,2020/01/07 00:00,545600,15328.92
2,19,2018/06/21 11:08,2020/01/08 00:00,545600,16057.52
2,19,2018/06/21 11:08,2020/01/09 00:00,545600,16786.12
2,19,2018/06/21 11:08,2020/01/10 00:00,545600,17514.71
2,19,2018/06/21 11:08,2020/01/11 00:00,545600,18243.31
2,19,2018/06/21 11:08,2020/01/12 00:00,545600,18971.91
2,19,2018/06/21 11:08,2020/01/13 00:00,545600,19700.5
2,19,2018/06/21 11:08,2020/01/14 00:00,545600,20429.1
2,19,2018/06/21 11:08,2020/01/15 00:00,545600,21157.7
2,19,2018/06/21 11:08,2020/01/16 00:00,545600,21886.3
2,19,2018/06/21 11:08,2020/01/17 00:00,545600,22614.89
2,19,2018/06/21 11:08,2020/01/18 00:00,545600,23343.49
2,19,2018/06/21 11:08,2020/01/19 00:00,545600,24072.09
2,19,2018/06/21 11:08,2020/01/20 00:00,545600,24800.69
2,19,2018/06/21 11:08,2020/01/21 00:00,545600,25529.28
2,19,2018/06/21 11:08,2020/01/22 00:00,545600,26257.88
2,19,2018/06/21 11:08,2020/01/23 00:00,545600,26986.48
2,19,2018/06/21 11:08,2020/01/24 00:00,545600,27715.08
2,19,2018/06/21 11:08,2020/01/25 00:00,545600,28443.67
2,19,2018/06/21 11:08,2020/01/26 00:00,545600,29172.27
2,19,2018/06/21 11:08,2020/01/27 00:00,545600,29900.87
2,19,2018/06/21 11:08,2020/01/28 00:00,545600,30629.47
2,19,2018/06/21 11:08,2020/01/29 00:00,575600,1358.06
2,19,2018/06/21 11:08,2020/01/30 00:00,575600,2086.66
2,19,2018/06/21 11:08,2020/01/31 00:00,575600,2815.26
2,19,2018/06/21 11:08,2020/02/01 00:00,575600,3543.86
2,19,2018/06/21 11:08,2020/02/02 00:00,575600,4272.45
2,19,2018/06/21 11:08,2020/02/03 00:00,575600,5001.05
2,19,2018/06/21 11:08,2020/02/04 00:00,575600,5729.65
2,19,2018/06/21 11:08,2020/02/05 00:00,575600,6458.24
2,19,2018/06/21 11:08,2020/02/06 00:00,575600,7186.84
2,19,2018/06/21 11:08,2020/02/07 00:00,575600,7915.44
2,19,2018/06/21 11:08,2020/02/08 00:00,575600,8644.04
2,19,2018/06/21 11:08,2020/02/09 00:00,575600,9372.63
2,19,2018/06/21 11:08,2020/02/10 00:00,575600,10101.23
2,19,2018/06/21 11:08,2020/02/11 00:00,575600,10829.83
2,19,2018/06/21 11:08,2020/02/12 00:00,575600,11558.43
2,19,2018/06/21 11:08,2020/02/13 00:00,575600,12287.02
2,19,2018/06/21 11:08,2020/02/14 00:00,575600,13015.62
2,19,2018/06/21 11:08,2020/02/15 00:00,575600,13744.22
2,19,2018/06/21 11:08,2020/02/16 00:00,575600,14472.82
2,19,2018/06/21 11:08,2020/02/17 00:00,575600,15201.41
2,19,2018/06/21 11:08,2020/02/18 00:00,575600,15930.01
2,19,2018/06/21 11:08,2020/02/19 00:00,575600,16658.61
2,19,2018/06/21 11:08,2020/02/20 00:00,575600,17387.21
2,19,2018/06/21 11:08,2020/02/21 00:00,575600,18115.8
2,19,2018/06/21 11:08,2020/02/22 00:00,575600,18844.4
2,19,2018/06/21 11:08,2020/02/23 00:00,575600,19573
2,19,2018/06/21 11:08,2020/02/24 00:00,575600,20301.59
2,19,2018/06/21 11:08,2020/02/25 00:00,575600,21030.19
2,19,2018/06/21 11:08,2020/02/26 00:00,575600,21758.79
2,19,2018/06/21 11:08,2020/02/27 00:00,575600,22487.39
2,19,2018/06/21 11:08,2020/02/28 00:00,575600,23215.98
2,19,2018/06/21 11:08,2020/02/29 00:00,575600,23944.58
2,19,2018/06/21 11:08,2020/03/01 00:00,575600,24673.18
2,19,2018/06/21 11:08,2020/03/02 00:00,575600,25401.78
2,19,2018/06/21 11:08,2020/03/03 00:00,575600,26130.37
2,19,2018/06/21 11:08,2020/03/04 00:00,575600,26858.97
2,19,2018/06/21 11:08,2020/03/05 00:00,575600,27587.57
2,19,2018/06/21 11:08,2020/03/06 00:00,575600,28316.17
2,19,2018/06/21 11:08,2020/03/07 00:00,575600,29044.76
2,19,2018/06/21 11:08,2020/03/08 00:00,575600,29773.36
2,19,2018/06/21 11:08,2020/03/09 00:00,575600,30501.96
2,19,2018/06/21 11:08,2020/03/10 00:00,575600,31230.56
2,19,2018/06/21 11:08,2020/03/11 00:00,575600,31959.15
2,19,2018/06/21 11:08,2020/03/12 00:00,575600,32687.75
