date of birth,number of people
1969_09_05,190
1970_06_14,190
1970_08_15,190
1971_06_10,190
1972_01_02,190
1972_08_28,190
1957_09_27,189
1959_08_06,189
1959_08_15,189
1959_09_19,189
1960_03_07,189
1960_03_13,189
1960_04_15,189
1960_04_16,189
1960_10_03,189
1961_09_15,189
1962_05_01,189
1962_06_08,189
1962_08_18,189
1962_09_29,189
1963_01_06,189
1963_03_17,189
1963_04_09,189
1963_04_16,189
1963_04_23,189
1963_05_10,189
1963_06_09,189
1963_07_17,189
1963_11_20,189
1963_12_05,189
1964_03_01,189
1964_05_03,189
1964_05_04,189
1964_06_01,189
1964_08_15,189
1964_08_23,189
1964_09_23,189
1964_12_15,189
1965_04_01,189
1966_01_03,189
1966_09_01,189
1966_09_20,189
1966_12_23,189
1967_05_10,189
1967_08_01,189
1967_08_10,189
1967_09_13,189
1967_09_24,189
1968_08_02,189
1968_09_01,189
1968_10_12,189
1969_02_12,189
1969_03_07,189
1969_04_02,189
1969_04_24,189
1969_12_15,189
1970_01_06,189
1970_09_16,189
1970_11_10,189
1972_01_10,189
1956_09_09,188
1957_02_12,188
1958_11_15,188
1959_01_02,188
1960_01_04,188
1960_05_06,188
1960_09_12,188
1962_01_12,188
1962_02_03,188
1962_02_16,188
1962_03_09,188
1962_10_04,188
1962_12_14,188
1964_02_10,188
1964_02_20,188
1964_03_11,188
1964_06_21,188
1964_07_27,188
1964_08_06,188
1964_08_07,188
1964_11_05,188
1965_05_06,188
1965_11_28,188
1966_04_07,188
1967_04_14,188
1967_09_11,188
1968_03_09,188
1968_07_16,188
1968_09_05,188
1968_12_23,188
1969_01_06,188
1969_04_15,188
1970_01_20,188
1970_12_26,188
1972_06_05,188
1958_06_04,187
1958_06_10,187
1958_11_28,187
1959_03_16,187
1960_05_04,187
1960_07_10,187
1960_09_26,187
1960_12_20,187
1962_01_06,187
1962_01_15,187
1962_02_10,187
1962_03_16,187
1962_05_28,187
1962_07_21,187
1962_08_05,187
1962_09_03,187
1962_10_05,187
1962_10_22,187
1962_12_10,187
1963_03_14,187
1963_04_13,187
1964_01_15,187
1964_05_10,187
1964_06_11,187
1964_06_25,187
1964_09_07,187
1965_01_15,187
1965_08_04,187
1965_09_06,187
1966_03_13,187
1966_04_10,187
1966_06_13,187
1966_11_10,187
1966_12_01,187
1967_11_10,187
1967_12_07,187
1968_06_21,187
1968_09_19,187
1969_06_03,187
1969_06_25,187
1970_06_03,187
1970_07_01,187
1971_05_05,187
1957_02_28,186
1957_03_23,186
1957_09_25,186
1959_03_04,186
1959_09_11,186
1959_12_16,186
1959_12_22,186
1960_06_07,186
1960_06_24,186
1960_10_12,186
1961_01_15,186
1961_09_22,186
1961_12_16,186
1962_06_03,186
1962_07_03,186
1962_08_21,186
1962_08_22,186
1962_09_19,186
1963_01_16,186
1963_02_13,186
1963_03_07,186
1963_05_01,186
1963_05_16,186
1963_08_05,186
1963_08_18,186
1963_10_07,186
1963_12_01,186
1964_03_06,186
1964_04_28,186
1964_05_20,186
1964_11_10,186
1964_12_23,186
1965_05_20,186
1965_06_09,186
1965_07_01,186
1965_08_12,186
1965_09_10,186
1966_10_05,186
1966_11_22,186
1967_02_03,186
1967_02_15,186
1968_06_25,186
1968_08_20,186
1968_08_26,186
1968_12_06,186
1968_12_20,186
1969_01_15,186
1969_04_06,186
1969_04_12,186
1969_10_15,186
1969_12_20,186
1970_02_20,186
1972_01_05,186
1972_02_03,186
1972_03_04,186
1972_07_07,186
1972_12_12,186
1954_05_05,185
1955_12_12,185
1957_09_28,185
1958_03_15,185
1958_04_12,185
1958_12_02,185
1959_08_28,185
1959_08_29,185
1960_03_01,185
1960_06_14,185
1960_11_01,185
1961_01_08,185
1961_02_03,185
1961_03_06,185
1961_03_23,185
1961_04_11,185
1961_07_01,185
1962_02_07,185
1962_03_02,185
1962_04_09,185
1962_07_10,185
1962_08_24,185
1962_10_14,185
1963_09_04,185
1963_10_09,185
1963_10_29,185
1964_02_06,185
1964_04_10,185
1964_07_12,185
1964_09_11,185
1964_09_16,185
1964_09_17,185
1964_10_25,185
1965_01_20,185
1965_04_07,185
1965_04_20,185
1965_09_16,185
